feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_two_level_branch,p95_abs_v_disc,p95_abs_v_two_level_branch,p99_abs_v_disc,p99_abs_v_two_level_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,71.0,two_level_branch,0.014424640396869682,0.01659533143276682,0.02688617484711705,0.03091226661542255,0.03600580422738016,0.04116768410390778,0.15048493246099945,0.1497458002560454,0.1433624380094345
A,urban_short,6.0,72.0,two_level_branch,0.014240939186624679,0.016352489340353847,0.026508243767559142,0.03058758298582248,0.03555893890271701,0.041225761226239825,0.14827323718314664,0.15388945620213607,0.15936421328617936
A,urban_short,6.0,73.0,two_level_branch,0.014425794842620993,0.016686936564327605,0.026936770329146553,0.03107894988699319,0.03582394873954832,0.04107170188473139,0.15674295568283503,0.1537741721532462,0.146487289364328
A,urban_short,6.0,74.0,two_level_branch,0.014268390201345255,0.016406336147845,0.0265321388747163,0.030663962633969283,0.03517681984152682,0.040770935762305435,0.1498379225918685,0.15572901147409524,0.15902847232866316
A,urban_short,6.0,75.0,two_level_branch,0.014233952700894984,0.01637839792536334,0.026261675140270106,0.030453169437761562,0.0362777873715673,0.041376680152717046,0.1506570430245649,0.1596049861672436,0.14055137180571287
A,urban_short,6.0,76.0,two_level_branch,0.014217202386497438,0.016274182535953946,0.026187160823297768,0.030170526106502317,0.036133523900574775,0.04041876224269781,0.14468248348283289,0.152111384280372,0.11859453160213
A,urban_short,6.0,77.0,two_level_branch,0.014123276000211663,0.01619318870890059,0.026497266069954263,0.030427155408688546,0.035301971783333816,0.03996028935300874,0.14656038079677175,0.14831301192957624,0.13195629972924444
A,urban_short,6.0,78.0,two_level_branch,0.013879249772391767,0.015986121666790126,0.02554426252096137,0.029505412164844962,0.03474641076297889,0.03990922758041354,0.15180012817330316,0.15507003346184345,0.148585615148931
A,urban_short,6.0,79.0,two_level_branch,0.014344426517033026,0.01645790693884942,0.026915204766164248,0.03089489455325517,0.03666108242126538,0.04199425507525658,0.14733809116082683,0.14786028275340804,0.14547231837589372
A,urban_short,6.0,80.0,two_level_branch,0.014062372587198394,0.01611867010265835,0.026247065144856356,0.029938614739753427,0.03498157410961326,0.04044265588620784,0.1462269259834499,0.1406461855648842,0.15611309426735673
A,urban_short,6.0,81.0,two_level_branch,0.01411159641234443,0.01617723680974355,0.026065578365964022,0.030011453988910287,0.03499583867799984,0.039916718914040424,0.1463789309898458,0.1513826229959555,0.14061329637840914
A,urban_short,6.0,82.0,two_level_branch,0.014019754238708779,0.016041422759079445,0.02600215161756947,0.029628893586698634,0.0352642389743378,0.040175668975049886,0.14420142364470304,0.1394785332564018,0.1392750884057413
A,urban_short,6.0,83.0,two_level_branch,0.014105678751595052,0.016141211692641762,0.02626526634062189,0.030224334559205524,0.035537264411271044,0.03992365549302143,0.14430591940260482,0.15073398332384447,0.12343074669414324
A,urban_short,6.0,84.0,two_level_branch,0.013965574375716027,0.015915040597793927,0.025968905289475198,0.029746489936133068,0.03409057144989195,0.03818328015802871,0.1395908374143007,0.1454656869263129,0.12005397780299543
A,urban_short,6.0,85.0,two_level_branch,0.013883430001689918,0.01586324098277126,0.025963552960987735,0.0296920800058773,0.0339992179534571,0.03888929925135494,0.14260243908316295,0.1436061948259535,0.14382922879555832
A,urban_short,6.0,86.0,two_level_branch,0.013984823848953692,0.01597983850377595,0.025816361579162346,0.029506401232064522,0.035048771015937924,0.04005877982109058,0.14265568707692522,0.1429341482372399,0.14294392242382556
A,urban_short,6.0,87.0,two_level_branch,0.013801776054217573,0.015656141988863427,0.025760648462679663,0.0291336339854849,0.03417777474989973,0.03866510865655691,0.13435705139406268,0.13093558291794552,0.13129391657279701
A,urban_short,6.0,88.0,two_level_branch,0.013880263928122633,0.01579699455991441,0.026148439994156048,0.029431126410074265,0.03464069169034543,0.039849346154155266,0.138090359211997,0.12554043058216355,0.150362311190845
A,urban_short,6.0,89.0,two_level_branch,0.01383727957916639,0.01571704372402925,0.025774517482988268,0.029102766747115344,0.03417645393459614,0.03889292716779674,0.13584781127737425,0.12912944990430147,0.13800358697911055
A,urban_short,6.0,90.0,two_level_branch,0.013859785546950828,0.015734194365550774,0.02541916719845249,0.029075011317933143,0.034337626448862776,0.038896045070419855,0.13524082405534177,0.14382234047790596,0.1327528747027897
A,urban_short,6.0,91.0,two_level_branch,0.013833959110563777,0.015752950969514984,0.025598269313285606,0.029176520514826935,0.03456523963512486,0.0393091068206919,0.13871602797248705,0.139784887710522,0.13724386799119334
A,urban_short,6.0,92.0,two_level_branch,0.013714039350095075,0.015468580989251546,0.025718850971304115,0.02879514822367215,0.03405851345823354,0.03792087200106421,0.12793762613378437,0.11961254629145068,0.113403614857329
A,urban_short,6.0,93.0,two_level_branch,0.013778064248783608,0.015617227953613349,0.025512687709289772,0.029079087895374018,0.034829801981421306,0.0382833390174841,0.13348491280203684,0.13978927766146862,0.09915465605876701
A,urban_short,6.0,94.0,two_level_branch,0.013717950133770165,0.01551841878138067,0.025638204934794934,0.029114691675914815,0.03403089438078795,0.0382396118419712,0.13124910282172558,0.13559789969545652,0.1236734307976129
A,urban_short,6.0,95.0,two_level_branch,0.013667296030968609,0.015454752875634307,0.025271117721318265,0.028926376707987256,0.03364164025083868,0.03843986626143477,0.13078350250228832,0.14464176167346487,0.142627588156213
A,urban_short,6.0,96.0,two_level_branch,0.013721114653380356,0.015385659041920708,0.025536090614876904,0.028501629293375363,0.03373612454645698,0.038132241234077116,0.12131262150267591,0.11613127174489211,0.13030888244339908
A,urban_short,6.0,97.0,two_level_branch,0.01378790846642787,0.015474116542235194,0.02565786539362666,0.028841562414236167,0.034490551250558554,0.039086214667641284,0.12229614665002063,0.12408269245189538,0.13324412775247554
A,urban_short,6.0,98.0,two_level_branch,0.013909377741432614,0.015601819220172272,0.02606195825787802,0.02910929340214561,0.03539402709660524,0.039690790537270024,0.12167628992476721,0.11692656070256882,0.12139798132993183
A,urban_short,6.0,99.0,two_level_branch,0.013709126886677924,0.015296740240036324,0.025557754839635304,0.028032425390462967,0.03435576597142126,0.03839708365877498,0.11580703617975772,0.0968266018026713,0.11763142439366586
A,urban_short,6.0,100.0,two_level_branch,0.013430234340849185,0.01506496889386385,0.024915897385797657,0.027967069229639884,0.03295046856448865,0.037160407702113644,0.12172047869950292,0.12245883809031215,0.12776568349507872
A,urban_short,6.0,101.0,two_level_branch,0.01356910439657342,0.01513388630753847,0.02503307724227068,0.028282194938440985,0.033503682162010474,0.03761502642914529,0.1153194687897162,0.12979298009290952,0.12271320648440946
A,urban_short,6.0,102.0,two_level_branch,0.013531111259352774,0.015010650440579035,0.025192910576687683,0.027772991552771593,0.03411920446058525,0.037727265108708365,0.1093435086644193,0.10241297718380321,0.10574867454166968
A,urban_short,6.0,103.0,two_level_branch,0.013689353883325062,0.015150190945935272,0.025201762346519486,0.027982286390698545,0.033666803717840386,0.03718953271409196,0.10671336829049681,0.11033053982286545,0.1046350887888071
A,urban_short,6.0,104.0,two_level_branch,0.013600646447278934,0.015052626014564913,0.025171515212936486,0.02782744870056806,0.03419840532341657,0.0372016733794654,0.10675812895470681,0.10551345301083027,0.08781895025942657
A,urban_short,6.0,105.0,two_level_branch,0.013640831173066895,0.015085451535175622,0.025366460232302303,0.028067873958426092,0.03404317155098482,0.03740338539307386,0.10590413031143252,0.10649549449882406,0.09870448871241666
A,urban_short,6.0,106.0,two_level_branch,0.013416055665669788,0.014825292668666432,0.024776262433490494,0.027450391837111808,0.03331548285179341,0.03675544382592904,0.105041081977822,0.1079311058639195,0.10325412329872492
A,urban_short,6.0,107.0,two_level_branch,0.013543317283790924,0.014909629987858863,0.025176900403825697,0.02793595674019047,0.03446322119890323,0.03713618937730681,0.10088464114350965,0.10958681537881153,0.07756002153648502
A,urban_short,6.0,108.0,two_level_branch,0.013555162074669868,0.014950929618753064,0.025118840592179975,0.027756319378026438,0.0334775784052235,0.03703372709700414,0.10296944709288469,0.10500002084760097,0.10622478868500765
A,urban_short,6.0,109.0,two_level_branch,0.01363780299766948,0.01493156883003112,0.02546993214639067,0.027683314074338328,0.03374907849846913,0.03685356743293977,0.09486614761796514,0.08690175989578809,0.09198736891768654
A,urban_short,6.0,110.0,two_level_branch,0.013549462997142964,0.014771236439994053,0.025323476549765394,0.027338541497325147,0.03294555631464438,0.03679846182172645,0.09017135535989232,0.07957299794914698,0.11694765358596909
A,urban_short,6.0,111.0,two_level_branch,0.013662283020738205,0.014834879479891755,0.025599341375962436,0.027712853238351143,0.03422542712993744,0.036850139600433575,0.08582727040375657,0.0825611812174698,0.07668896170473985
A,urban_short,6.0,112.0,two_level_branch,0.01364999586393004,0.014862974474993925,0.025344028455188926,0.027381713656428865,0.03391826446040971,0.037194756805857175,0.08886292883569052,0.080400998793179,0.09659964616620867
A,urban_short,6.0,113.0,two_level_branch,0.013512957922329382,0.014607430707931218,0.024948652632406917,0.027027903226300352,0.03364245739000814,0.03651244571210692,0.08099431611440772,0.08334119780050184,0.08530852216970254
A,urban_short,6.0,114.0,two_level_branch,0.01376602026168682,0.014823844977331333,0.0258546534347601,0.02759128840571697,0.035109912383804696,0.03690848513979732,0.07684317584426484,0.06716914521167247,0.05122692236686573
A,urban_short,6.0,115.0,two_level_branch,0.013598398230604242,0.01464091764679203,0.02514525120906503,0.027035200288088125,0.03417906760028654,0.03636158714171783,0.0766648687962026,0.07516127253251526,0.06385544412607067
