feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_star_branch,p95_abs_v_disc,p95_abs_v_star_branch,p99_abs_v_disc,p99_abs_v_star_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,97.0,star_branch,0.01378790846642787,0.014953451095024082,0.02565786539362666,0.02798191791500281,0.034490551250558554,0.03772439809779133,0.0845336790155075,0.09057856083201055,0.09376037001381372
A,urban_short,6.0,98.0,star_branch,0.013909377741432614,0.015088002621112154,0.02606195825787802,0.028332803083318692,0.03539402709660524,0.03813251110753777,0.08473598902765486,0.08713254786808815,0.07737135996020043
A,urban_short,6.0,99.0,star_branch,0.013709126886677924,0.014873155219721374,0.025557754839635304,0.02775183528888838,0.03435576597142126,0.037460176356231015,0.08490900570587132,0.08584793394490457,0.09036068028266783
A,urban_short,6.0,100.0,star_branch,0.013430234340849185,0.014547561817131103,0.024915897385797657,0.02692056434165585,0.03295046856448865,0.036009717400381946,0.08319493524275096,0.0804573451567061,0.09284386441746419
A,urban_short,6.0,101.0,star_branch,0.01356910439657342,0.014701895246858188,0.02503307724227068,0.027268658623780452,0.033503682162010474,0.03653732512192036,0.0834830963914486,0.08930509660773087,0.09054655381579832
A,urban_short,6.0,102.0,star_branch,0.013531111259352774,0.014611650702484514,0.025192910576687683,0.02720358559904911,0.03411920446058525,0.0368722221136556,0.07985592775204367,0.07981114433923372,0.08068821347375367
A,urban_short,6.0,103.0,star_branch,0.013689353883325062,0.014810232313461184,0.025201762346519486,0.027330423110259915,0.033666803717840386,0.03692147430383078,0.08187957150420798,0.08446475823681475,0.0966729902032759
A,urban_short,6.0,104.0,star_branch,0.013600646447278934,0.014663388519124358,0.025171515212936486,0.027167743222525315,0.03419840532341657,0.03673442886060045,0.07813908522400018,0.07930503955371349,0.07415619275812826
A,urban_short,6.0,105.0,star_branch,0.013640831173066895,0.01470799954176594,0.025366460232302303,0.027266412416127105,0.03404317155098482,0.036826059361637374,0.07823338293388701,0.07490017000501137,0.08174584458104205
A,urban_short,6.0,106.0,star_branch,0.013416055665669788,0.014506767752502144,0.024776262433490494,0.026997907940788178,0.03331548285179341,0.035680540556241334,0.08129901321320308,0.0896683070443526,0.07098974716857852
A,urban_short,6.0,107.0,star_branch,0.013543317283790924,0.014577555229052169,0.025176900403825697,0.027006253157983984,0.03446322119890323,0.037589790947002544,0.07636518613494005,0.07265996706569615,0.09072192439744475
